channel_id,channel_name,priority_score,simulated_tier,recent_video_count_48h,recent_video_count_7d,ranking_count_7d,ranking_count_30d,estimated_daily_refreshes,estimated_weekly_refreshes,risk_flag,reason_summary
UCQj7ECOTtJFDkfd-Yd5a_2A,UCQj7ECOTtJFDkfd-Yd5a_2A,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCrbe4QP9D0Un8Jo5Lr2Wk0w,UCrbe4QP9D0Un8Jo5Lr2Wk0w,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; no_upload_14d; growth_7d_lt_10000
UCz9HKs_mEFNf-ltKWYrNQXw,UCz9HKs_mEFNf-ltKWYrNQXw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCmaWBOur9YCgJgiVnec4rCw,UCmaWBOur9YCgJgiVnec4rCw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCHC4VuA5SoItXWMCtzjBHyg,UCHC4VuA5SoItXWMCtzjBHyg,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCWoHwdGbbqwzoiBevpldOQQ,UCWoHwdGbbqwzoiBevpldOQQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC_qcP_e9Rp02E3n3Z1v98NA,UC_qcP_e9Rp02E3n3Z1v98NA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; no_upload_14d; growth_7d_lt_10000
UCAjWC-u4DcVa-wYxXKXjy1w,UCAjWC-u4DcVa-wYxXKXjy1w,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCcC2iASzr8hxAlEuSzhBNpg,UCcC2iASzr8hxAlEuSzhBNpg,20,active,0,0,0,6,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC8j2Hrko3VbtyGCOsB9r0WA,UC8j2Hrko3VbtyGCOsB9r0WA,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC_3Dd01ZO9_CEJiFnYwOVVQ,UC_3Dd01ZO9_CEJiFnYwOVVQ,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCI82J2iGf72V0VHaMPKfbDw,UCI82J2iGf72V0VHaMPKfbDw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UCWJ_gaUtzGbXQkU6yJtQ22A,UCWJ_gaUtzGbXQkU6yJtQ22A,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
UC1Eh5KlqL7oOCz1MuvpJ-vA,UC1Eh5KlqL7oOCz1MuvpJ-vA,20,active,0,0,0,9,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000; observation_sufficient
UClF9QRX6mrUpm3z5vOUR0Rw,UClF9QRX6mrUpm3z5vOUR0Rw,20,active,0,0,0,3,6.0,42.0,False,+10: ranking_appearance_30d; +10: rankable_rate_high; no_upload_7d; growth_7d_lt_10000
